BOROUGH,tf_ampm,tf_hour,tf_min_block,avg_speed,CI
Bronx,PM,04,45,25.559236754826074,0.4888152649034785
Bronx,AM,09,45,32.51956295919862,0.34960874081602755
Queens,AM,06,45,40.71368353576596,0.1857263292846808
Bronx,PM,05,30,26.07491446012841,0.47850171079743176
Queens,PM,01,45,36.48569648924125,0.27028607021517503
Queens,AM,07,30,38.28229197601734,0.23435416047965318
Queens,PM,02,30,34.65845766411667,0.3068308467176667
Brooklyn,PM,09,45,38.08586533370315,0.2382826933259371
Staten island,AM,10,15,37.53999533582091,0.24920009328358173
Queens,PM,09,15,41.209733864068355,0.17580532271863292
Staten Island,PM,02,15,36.5559871107922,0.2688802577841559
Staten Island,AM,07,15,38.445425142810166,0.23109149714379673
Staten island,AM,11,00,37.11116447985004,0.2577767104029992
Staten island,AM,04,15,40.88347321005215,0.18233053579895697
Staten Island,PM,03,00,34.939811657747555,0.3012037668450489
Staten Island,AM,08,00,38.25926849943039,0.23481463001139213
Staten island,AM,05,00,40.72784912867031,0.18544301742659386
Staten Island,PM,11,45,40.9764420051128,0.18047115989774398
Manhattan,AM,10,00,22.79759612837803,0.5440480774324394
Manhattan,AM,03,15,23.944321795129788,0.5211135640974043
Staten Island,PM,05,45,33.10976530585003,0.3378046938829994
Staten Island,PM,12,30,37.41135728048813,0.25177285439023733
Manhattan,AM,04,00,25.315293693386284,0.49369412613227437
Staten island,AM,07,45,39.3641674550615,0.21271665089877
Staten Island,PM,06,30,34.24341667000012,0.3151316665999976
Staten island,PM,02,45,34.941681519699806,0.30116636960600385
Staten island,AM,08,30,38.52055973659453,0.22958880526810943
Staten island,PM,03,30,32.22893671475102,0.35542126570497956
Manhattan,AM,12,45,22.96549268762323,0.5406901462475354
Bronx,AM,01,15,39.115858626618454,0.2176828274676309
Manhattan,PM,01,45,23.00038991035492,0.5399922017929016
Manhattan,AM,06,45,27.012249337241222,0.45975501325517554
Bronx,AM,02,00,39.64281917039376,0.20714361659212488
Brooklyn,AM,12,15,39.31583710012826,0.2136832579974347
Manhattan,PM,02,30,21.719201472066256,0.5656159705586749
Brooklyn,PM,01,15,33.56615117246173,0.32867697655076544
Manhattan,AM,07,30,24.9362118632971,0.501275762734058
Brooklyn,AM,06,15,37.12263072438568,0.2575473855122864
Brooklyn,PM,02,00,32.828762963054515,0.3434247407389097
Brooklyn,AM,07,00,35.50278851042196,0.28994422979156087
Bronx,AM,10,45,31.65203902748923,0.36695921945021537
Manhattan,PM,09,15,24.182730324881756,0.5163453935023649
Bronx,AM,11,30,30.653720207965133,0.3869255958406973
Bronx,AM,04,45,42.65528180956443,0.14689436380871146
Brooklyn,PM,10,45,37.7369018734836,0.24526196253032795
Queens,AM,01,45,43.615015471153015,0.12769969057693975
Bronx,AM,05,30,42.64054990208422,0.14718900195831564
Brooklyn,AM,09,45,33.1617110052857,0.3367657798942859
Brooklyn,PM,11,30,38.32899826441292,0.23342003471174166
Queens,AM,02,30,44.05829635470623,0.11883407290587544
Brooklyn,PM,04,45,30.289675773596077,0.3942064845280785
Bronx,PM,07,15,31.203363047071,0.37593273905857993
